CompanyID,Description,TargetWorkCatergoryIDs
11,"Harrison Painting Contractors was established in 1990 under the full Company name of: Co-communications Ltd T/A Harrison Painting Contractors. The Head Office is based in Burley, Ringwood and the Company work primarily as the principal contractor on a variety of refurbishment projects throughout Hampshire, Dorset, and Wiltshire.  The projects involve the painting, decorating and repair of individual buildings such as schools; fire/ police stations; prisons, tenanted properties including sheltered schemes such as housing for the elderly and special needs residents. Its core business is Painting/Decoration and Pre-dec Repair. Other certifications: ISO 9001; ISO 14001,CHAS;Safe Contractor;Exor; ICI Dulux Trade Contract Partner",[11]
12,"M J Smithfield & Sons Ltd was established in 1885 and has a long-standing reputation for providing excellent work with customer service that surpasses expectations. The company recognises the value of its employees and invests heavily in their growth and training (IIP Accredited). Operating across both public and private sectors, Smithfield offers an array of solutions to numerous repeat clients within residential, commercial, education, sports & leisure, care home adaptation areas. They provide design & build solutions along with new builds; extensions as well as refurbishment works; maintenance services plus planned repairs. Other certifications include: ISO 9001:2015; ISO 14001:2015 plus ISO 45001:2018  www.mjsmithfield.co.uk","[37, 39, 40, 41, 28]"
13,"At John Smith & Co. we pride ourselves on offering a first-class and creative service, in many areas of residential and commercial structures of all sizes. We employ various workers, artisans and management teams to help the company guarantee an exceptional level of workmanship that meets our customers' expectations. To ensure superior quality standards are maintained, all our technicians have been fully trained with customer satisfaction as their priority along with our managers and support staff. Our goal is to provide efficient services at competitive prices while prioritising excellence and affordability.","[31, 64, 70, 71, 78, 84]"
14,"North Wales Building Solutions was established in 2012 and is a privately owned property maintenance / building contractor based in Denbighshire, North Wales. We specialise in all aspects of building work within the commercial sector and privately owned properties. In particular we have experience of handling large building projects and have recently completed a £500,000 refurbishment of a local care provision. Additionally, we provide ongoing maintenance to all the care provisions within this organisation. All our team are DBS checked so you can rest assured that you will receive an exceptional service from us every time - friendly, conscientious and reliable!","[41, 36, 37]"
15,"RJL is a joinery manufacturer at heart, we fabricate furniture and counters, reception desks and cabinetry. We are certified Corian manufacturers and installers with expertise in stone, upholstery and metalwork. Additionally, we specialise in fire door services that have been 3rd party approved by BM Trada’s Q-Mark scheme. Our work encompasses the Leisure industry where we've completed 57 projects for Premier Inn to date; Education sector which includes several frameworks involving thousands of doorsets; Healthcare sector where our proficiency in solid surface finishes plays an important role as well as providing acoustic panelling solutions through UK designed, manufactured & tested products offering value engineering alternatives to expensive European competitors - all backed by RIBA awards on recent schemes such as Roehampton University Library & West Down University Building Winchester University featuring large scale joinery installations crafted within our own facility. Visit rjlcontracts.co.uk for more information!","[0, 1, 9]"
16,"We are a painting and decorating firm that provides estate repairs and the refurbishment of vacant dwellings to an agreed upon standard. We have been in business since 1990, completing capital works projects as well as decent homes programmes using paint systems like TOR and wood care systems with two part resin. Our certifications include EXOR Health & Safety Accreditation from EXOR Management Services LTD; QMS International Plc (Non UKAS) BS EN ISO 9001 Quality Management System; Non UKAS BS EN ISO 14001 Environmental Management System.","[18, 11, 31]"
17,"Due to ongoing improvements in our services and the loyalty of our customers over the last 11 years, we have seen steady growth and now own 19 vans with 30 full-time employees. We are committed to upholding high standards of workmanship and safety procedures; all staff members have been carefully chosen for their qualifications which include CSCS cards, NVQ level 2 training as well as specialist courses such as Asbestos Awareness, Manual Handling and Working at Heights. Our Supervisors hold an NVQ Level 3 qualification. The company is based in York but provides its services throughout North, South & West Yorkshire for domestic, commercial or industrial installations - always adhering to Health & Safety regulations along with any specific client requirements. Furthermore we proudly possess CHAS accreditation .  This is 'ABC Plastering Services' mission statement!","[16, 41, 39]"
18,"Established in 1988, we are a reliable local construction firm providing services to the entire East Midlands. We can take on any project, from plumbing and electrical installations to building work or decorating and tiling - both domestic and commercial. Our portfolio includes successful projects for private customers, councils, schools, NHS contracts as well as architects among others. In addition to offering residential construction solutions throughout the region of East Midlands we also provide professional assistance with commercial properties too. No matter how big your concept is – our team will be able to make it come true by delivering any of these services: New Builds Renovations Period Properties Internal & External Extensions Disabled Adaptations Level Access Showers Door Widening Stair Lifts General Maintenance Plumbing Electrical Installations Building Garages Room Decoration Interior Tiling  All under one roof at Acme Construction Company!","[64, 32, 66, 22, 87, 95]"
19,"Greenvale Control Systems Limited is a private limited company specialising in the design, installation, servicing and maintenance of CCTV, Door Entry/Access Control, Warden Call and Concierge Systems and Fire/Intruder Alarms. We also install, service and maintain security doors, communal entrance doors, auto doors/gates Pay on Foot Machines and Car Park Barriers for our clients. Additionally we use innovation to create Integrated Solutions that meet the needs of all types of customers. Our work primarily focuses on public sector organisations such as Town Councils , Police Forces Schools & Universities NHS Trusts & Housing Associations but we have also worked with corporate clients too. Greenvale has delivered solutions to its customers across many areas while taking on bespoke contracts along the way .Our main focus is delivering results through working closely with our partners always striving to exceed expectations wherever possible","[82, 89, 58, 91, 61]"
20,"With more than 15 years of experience in the Fire and Security sector, we have established ourselves as a leading provider of High Definition CCTV (HD CCTV), Access Control, Automatic Number-Plate Recognition, Fire Sprinkler Solutions, Intruder and Fire Alarms to businesses across the UK. Our solutions are designed to meet your exact operational requirements regardless of your business size. We maintain strong relationships with major manufacturers which allows us to offer an extensive range of security and fire solutions that can be used effectively in any commercial setting. 
Our Advantages: 
• Free no-obligation quotes for all our clients  
• Established business for over 15 years  
• All work is fully guaranteed for peace of mind   			  • Compliance with all regulations & legislation     • SSAIB (Security Systems & Alarms Inspection Board) Certified      • BAFE ® SP203-1 registered       • Tailor installations according to specific needs     • Work closely with architects/builders/fire brigade etc        • Own team of trained installation & service engineers          • Tax efficient lease options including full support/service maintenance           Fully Accredited","[32, 58, 61, 68, 89, 91]"
21,"Citation Electrical Ltd offer an extensive selection of electrical contracting services including Installation, Maintenance and Compliance.  Based out of our Head Office in Nottingham for over 25 years, we have a proactive approach to providing superior services to customers on both regional and national levels. We directly employ a talented team of professional engineers and electricians who are fully qualified and highly experienced in delivering excellent standards as well as personalised service that continually builds strong relationships with our clients. Citation Electrical Ltd follows all best practice guidelines, codes of conduct, quality assurance protocols and safety regulations achieving numerous certifications such as NICEIC registration along with CHAS accreditation plus SMAS approval status schemes; additionally all engineers are DBS checked. Health & Safety is always paramount within the environment where we operate which is why Citation Electrical has been ‘Citation’ Approved giving us support should any issues arise concerning health & safety or HR matters.","[32, 62, 64, 67, 70, 91]"
22,"Peterson Smith Ltd is an Essex based subcontractor specialising mainly in carpentry and joinery works packages for main contractors. Our services span from full internal 1st and 2nd fix packages to external timber frame construction. We are able to manage projects of all sizes through the entire building process, working closely with our employers to ensure maximum efficiency at every stage. Recently we have branched out into steel framing as part of a wider range of offerings that we feel will benefit us greatly. As well as this, we continue to pursue collaborative relationships across London- East Anglia and the South East in sectors such as government, commercial, housing, residential education retail etc., always open new opportunities for growth within these areas.","[0, 9, 10]"
23,"Greenfield Environmental is an independent asbestos consultancy that operates throughout the UK specialising in Asbestos Management and Refurbishment and Demolition Surveys. Our team of surveyors have over 15 years' experience working in the construction industry dealing with asbestos. We operate a UKAS registered quality management system which complies with ISO 9001, and all our surveyors hold, as a minimum, the BOHS P9402 certificate. At Greenfield Environmental we are committed to providing first class service, partnering up with clients to make sure their needs are met on time while ensuring 100% compliance with legal responsibilities.","[35, 36, 37, 38, 39, 40]"
24,"Glass Solutions (Contracts) Ltd supplies and installs windows, doors and curtain walling systems in PVCU, timber and aluminium. We are completely independent so can recommend the best product or system for any application. Additionally we have strong ties with some of the UK's most successful fabricators and system houses which allows us to offer competitive prices, fast deliveries as well as technical support on more intricate contracts. What sets Glass Solutions apart from its competitors is our consistency when it comes to performance; our policy is always to apply best practice during every stage of a project while also having structures, processes and personnel in place who will ensure this happens - including one Project Manager per contract that has overall responsibility for decision making plus accountability. Furthermore we strive beyond what's required by each contract thus setting a benchmark within commercial installation efficiency circles.","[1, 13]"
25,"Oak Horticulture carries out contracts in a variety of sectors, including Shopping Centres, Estates, Lakes & Waterways, Sports Grounds, Schools and Railway Infrastructure. Our experienced teams are capable of handling projects big or small with the same commitment to quality that has earned us numerous awards for excellence in health & safety standards as well as environmental protection. We have an extensive list of suppliers who we work closely with and our ever-growing client base is testament to our reputation for providing outstanding services throughout the industry.","[50, 52]"
26,"Trevor's Site Solutions is a family-run business specialising in office refurbishment and other projects. Our team comprises of our own employees, as well as trusted subcontractors who have worked with us for many years. In 2016 we completed works for Watford F.C (new restaurant and executive box renovations), MK Dons F.C (76 hotel rooms plus various small projects), Barnet F.C (restaurant, toilets, café etc.), Mercedes Benz Grand Prix (canteen, offices and new restaurant) along with numerous other high profile clients. If you would like to discuss your requirements please do not hesitate to get in touch!","[0, 9, 14, 15, 18]"
27,"MTS (Mechanical Services) Ltd is a West Midlands based Building Services Contractor, which has been in operation since 1980. We have taken on contracts for an extensive range of customers, ranging from public and health authority projects with values between £1,000 to more than £2 million either directly or through main contractors. Our highly skilled team of employed staff ensures full continuity and accountability on site while we remain flexible and attentive to our clients' needs. At MTS we take pride in providing outstanding services that are cost-effective.","[46, 73, 77, 80, 81, 84]"
28,"FAB Construction was founded in 1971 and has proudly continued growth over the last '49' Years, with the company consistently achieving an excellent safety record, high service levels coupled with customer satisfaction, and gaining a reputation for the highest quality work.   Our professionalism and dedication to client service  continues with considerable ongoing investment in stock, systems, vehicles and most importantly operatives and staff. FAB is now involved in some of the most important construction developments in the UK and is able to undertake projects of any scale. Indeed, because we have significant stock in three large yards, coupled with very experienced staff and a large number of trained operatives, we are also able to carry out a substantial number of large scale projects simultaneously to a very high standard.",[25]
29,"We strive to become a premier provider of Mechanical & Electrical Service Installations for our customers, offering ongoing development of design and product selection to achieve the most cost-efficient, energy efficient designs and innovations. We are committed to providing site installations that offer the most economical solutions while minimizing risk and taking into account environmental concerns. Our company is dedicated to continual improvement in order to provide clients with superior quality service as well as customer satisfaction. We continually work towards being the best at what we do by believing in people's power to contribute significantly toward success for both our customers and ourselves. Within our organization, we strongly encourage employees reach their highest potentials while committing themselves fully towards achieving success together.","[64, 66, 63]"
30,"Meadows Joinery Services Limited is a family owned joinery contractors which has been running for around 25 years. The business was incorporated in October 2004 and carries out all aspects of domestic and commercial joinery, including 1st, 2nd & 3rd fix joinery, roofing, shuttering and joists. Based in Lincoln but working on contracts throughout the UK, Meadows currently employs about 20 experienced joiners with three apprentices. Work can be carried out as labour only or supply and fit basis; they have experience operating within the domestic market as well as education establishments, medical facilities and other commercial sectors such as housing associations with new builds or refurbishment works.",[9]
31,"Petersen and Smith Decorating Services Ltd provide a range of high end decorative finishes. Our services encompass industrial refurbishment, all aspects of internal and external redecoration for commercial, residential and new builds. We are qualified to use the Repair care International timber resin system for rebuilding old sash windows and doors. Additionally we hold iPAF licences (MWEP) enabling us to perform high level cleaning on panels, signs, roofs & guttering as well as painting & decorating at height. Scaffolding or other access equipment can be sourced if required by our NVQ Level 2 certified operatives in industrial & commercial Painting/Decorating who have completed numerous large projects throughout Cambridge & Cambridgeshire with verification from Dulux Trade representatives upon completion. Working alongside Property management companies local councils building firms etc., we take pride in strong planning/project management ensuring successful delivery within budgeted timeframes - Matthew Petersen Company Director",[11]
32,"FlameSafe fire rated products meet E30, E60, and EI60 specifications while still providing an attractive appearance. All of our fire protection systems are carefully tested to ensure they provide the utmost safety for both buildings and occupants. We strive to offer the best passive fire protection solutions with excellent customer service as a top priority. Our range of flame-resistant doors & screens can be used in stunning architectural designs across the UK. FlameSafe’s custom made glazed doors & screens deliver impressive levels of security against fires and can come with various finishes or ironmongery options available. To date we have installed over 5,000 doors & screens throughout Britain; showcasing our adaptability when it comes to meeting architects' needs in all sectors imaginable",[10]
33,"Greenwood Building Services are based in Longfield Kent. My colleagues and I have over 30 years of experience running a successful building company, and we've taken the opportunity to set-up Greenwood Building Services which will specialise in providing an all-encompassing building service. Greenwood Building Services can offer you general building, refurbishment, roofing, ground works, underpinning & piling; planned & reactive maintenance contracting; scaffolding bespoke and traditional. We also provide condition surveys, defect diagnosis as well as roof camera surveys. Our staff and company have various qualifications and accreditations that could be presented on request along with any other information required - including certifications such as British Safety Council membership; CHAS Safecontractor accreditation; NFB2 certification etc..","[32, 33, 36, 37, 39, 86]"
34,"K&M Construction Services Ltd is a professional property maintenance and installations company. We specialize in Gas, Plumbing and Electrical in both Residential and Commercial sectors across London. Our staff are highly trained professionals who have been fully accredited by the Electrotechnical Certification Scheme as well as being on the Gas Safe Register regulated by the government for registered Gas Engineers/Plumbers and electricians in the UK. With over 8 years of experience providing affordable pricing for all installation, repairs and maintenance requirements from small residential to larger commercial projects we understand how important it is to meet industry standards while remaining reliable, modern forward thinking construction/maintenance company. As such K&M Construction Services Ltd proudly holds memberships with Chas - Niceic -Gas Safe Register","[32, 84, 77, 79]"
35,"INTRODUCTION  Evergreen Mechanical Services Ltd is an existing business established January 2005. Operating from its premises in Manchester it is further complemented by its fabrication shop in Tameside. The company is a privately owned and managed business. The company is HVCA and Gas safe registered. Recognising that clients and customers in the industry are now demanding multi-disciplined companies, the basic philosophy of Evergreen Mechanical Services Ltd is to provide a complete and comprehensive mechanical services package to the industry, undertaking its work in a professional and competent manner to the complete satisfaction of the client resulting in repeat business. 
BACKGROUND  Evergreen Mechanical Services Ltd undertakes design, supply, installation and commissioning of plumbing, heating ventilating air conditioning services for building commercial industrial public sector applications .The management team has extensive experience both design contracting able manage projects up 1 million pounds",[80]
36,"I am a self-employed plumber offering installation, repair and maintenance of plumbing systems and fixtures in residential or public buildings. I interpret drawings and specifications to determine the layout of piping networks for water supply, waste disposal and drainage. My services include planning, installing and servicing all types of plumbing systems, fixtures, equipment as well as controls that are used for transporting water or disposing waste. Working with other tradespeople and labourers is necessary to meet standards set by legislation while ensuring efficient completion of projects. As part of my complete service package I make sure that all water supply networks along with waste/drainage systems adhere to building codes & safety regulations.",[84]
37,"We strive to ensure that you receive the highest possible level of service. 
Secure Solutions Ltd We specialise in protecting all types of property – domestic, public and commercial – through the design, supply, installation and maintenance of bespoke fire and security systems, including CCTV, intruder detection, access control , covert security and security lighting solutions. Secure Solutions Ltd offers Fire Detection & Alarms Door Entry Systems Intruder Alarm Systems Telephone Based Entry Systems Access Contol Satellite Distibution CCTV Systems Automatic Gates & Trafiic Barriers Available any time every time Our engineers are available 24/7 for emergency call-outs as well as regular scheduled visits to provide preventative maintenance services on your system. In many cases our engineers can resolve your issue over the phone by resetting the system remotely or guiding you through a process. Our Service Agreements start from just £99 per year with tailored packages designed around your exact requirements .Our service commitment At Secure Solutions Ltd we are committed to providing our customers with outstanding customer service at all times; meeting expectations in terms quality workmanship within agreed timelines while treating everyone honestly integrity respect at all times","[82, 68, 58, 62]"
38,.,[19]
39,"Achilles Building Confidence is a masonry, cladding & alternative walling contractor offering supply and fix (labour, plant & materials) packages across the north of England and the Midlands. We are also able to provide a national service for major projects in sectors such as Education, Health, Retail, Commercial Luxury Residential, MOD and Public. Established in 1994 in Leeds West Yorkshire we have experienced project management teams with certificated craftsmen who are accredited by Achilles Building Confidence Level 5 ISO 9001 Quality Management System; ISO 45001 Health & Safety Management System; ISO 14001 Environmental Management System. Additionally we are founding members of The Association of Brickwork Contractors with partnering/strategic alliance agreements already established with key clients. Our balance sheet is strong backed up by full employers', public' product liability insurances plus professional indemnity insurance coverage",[22]
40,"We are a very competitive professional organization offering Security Systems for any and all of your needs in either the Home or Business. We have also been SSAIB Registered, so you can trust us to provide quality service at an affordable price. From Home Security Systems to commercial Buildings, CCTV Cameras To Intruder Alarms Systems - we will tailor our services specifically to meet both your requirements and budget while installing them according to British Standards BS4737 & NACP11. Our company is based on the belief that customer satisfaction should always be top priority; as such, much of our business comes from repeat customers and referrals due to their positive experiences with us over 25 years worth of experience providing security solutions across many different sectors. Let us earn your trust today!","[89, 82, 68, 93]"
41,"We are a roofing business that operates in both the private and public sectors. Our headquarters is situated in the North-East, but we can provide services to all parts of England and Scotland. We have an experienced team who are proficient at Sloped, Flat and Profile roofing projects. Our portfolio includes Domestic, commercial and industrial properties for which we work as Principal Contractor or subcontractor on new build or refurbishment roofs plus associated works such as rainwater goods. Additionally, our company is registered with Sika Sarnafil contractors.",[21]
42,"Itaconix Ltd was founded in 1999 by current managing director Iain Millington, The company has over 20 years of experience with in the industry. We carry out a lot of our work in Liverpool as well as across the North West. We have been working along side some of the UKs most prestigious institutions since the company first started. These include: The University Of Chester, The University Of Liverpool, Clatter bridge Hospital. Liverpool Hope University, Arrow Park Hospital and some local companies such as Revolymer which is now known as Itaconix. We have had the chance to collaborate with a few of Britain's top businesses including Integral UK, John Turner Construction and Aspect Construction throughout our history . Over time we have earned ourselves a reputation for being one of England’s leading producers of professional laboratory furniture and educational furniture solutions.. Our joiners are able to fit out any new laboratory space with custom-made functional lab furnishings that were designed and built onsite - this also applies to all educational furnishing we offer too!","[32, 74, 38]"
43,"Founded in 1970, Johnson & Jones Architects is one of the UK's leading architectural practices with offices in London, Leicester, Leeds and Solihull. Our success domestically has led to us expanding overseas with the establishment of Johnson & Jones International in 2009 and the International Logistics Design Group in 2014. With our strategically placed locations combined with our talented design teams we are able to provide specialist services for masterplanning as well as industrial, logistics, office, education retail and refurbishment sectors. We strive to deliver quality service through professionalism and architecture which can be seen throughout our portfolio that consists of both complex projects on a large scale. By working closely together we have built up an extensive client base due to being able to respond quickly when required by stakeholders while also resolving any difficult site issues using creative designs. We have been recognised by The Architects' Journal who listed us among their 'Top 100' firms and were named one of The Sunday Times’ ‘Best Small Companies To Work For’",[90]
44,"KBG is an acclaimed international placemaking practice of architects and masterplanners with considerable expertise in delivering successful projects for both private and public sectors throughout the UK, Europe, China, Russia and the Middle East. From our offices in London and Edinburgh we take on placemaking initiatives at all levels - from cities to towns; neighbourhoods to streets; as well as designing individual buildings so that new places can be brought into existence or existing ones revitalised. We use a method called Collaborative Placemaking which combines understanding, engagement and creation when tackling each project.",[90]
45,"Fulstone Construction Ltd is a Merseyside based construction company. We provide services for both private and public clients, specialising in the development and refurbishment of listed buildings or period property. Our client base consists of healthcare providers, educational institutions and Housing Associations throughout the region. Fulstone has been approved by CHAS and Construction line, meaning we have our own management teams as well as technical staff members who are skilled tradespeople. With an emphasis on project delivery that involves direct input from myself at all stages - both on-site and off-site - we can guarantee experience, a proven track record plus financial stability to any individual looking to complete their building project with us here at Fulstone Construction Ltd.","[33, 35, 36, 37, 38, 41]"
46,"Henderson & Associates provide architectural consulting services for science-based and higher education building projects. We are a small, highly experienced team offering high-value strategic briefing and architectural expertise for complex building projects.  As well as full architectural services we assist clients by providing up-front services ranging from strategic design and briefing services, to scoping and budgeting studies, options appraisals and business case activities. A significant portion of our work is providing laboratory planning and briefing services to lead architects such as Herzog & de Meuron, Allies and Morrison, Hopkins Architects, MAKEand Hawkins\Brown. The projects that we have been involved with range in construction value from £2 million to £450 million. Henderson & Associates started in 2009 as a Limited Liability Partnership (LLP). In July 2014 it switched to a Limited Company (LTD). The ownership structures remain unchanged but the assets were transferred over when the switch was made; Henderson & Associates remains an SME company today.",[90]
47,"We are a well-established firm based in the south west, committed to delivering construction projects of the highest quality across the country. With over two decades of experience working on some of Britain’s most prestigious and specialist schemes, we have expertise in all aspects of drylining, suspended and grid ceilings, Metsec installation, external rendering and plastering as well as providing specialised consultancy services for project management. If you would like a free quote then please don't hesitate to get in touch via email at info@amanda-construction.co.uk or connect with us on Facebook & LinkedIn!","[16, 14, 15]"
48,"Alpha Manufacturing Ltd is a provider of quality kitchen cabinets and installer of associated accessories, such as appliances, solid surfaces, lighting etc. We supply all over the UK to contracts market including high rise build to rent projects, volume builders and regional housebuilders. Our manufacturing facility covers 400 000 sq ft in Thorne near Doncaster South Yorkshire. In 2018/19 we invested £20m into new plant and machinery which increased our capacity for producing 34000 kitchens per annum on single shift basis. Alpha employs 350 people with majority based at Head Office or Factory while Contracts Management and Sales Personnel are located across the country. Alpha offers Rigid (glued & dowelled) cabinets branded Sheraton & Mackintosh along with RTA (Ready To Assemble) Chippendale Cabinets - both constructed from highest quality materials engineered for longevity of use",[8]
49,"We have been in the industry for over a decade and a half, with 12 years as an established limited company. Our core values are diligence, excellence, affordability and customer satisfaction. We have worked alongside renowned companies such as Frank Haslam Milan, Ben Bailey, Keepmoat and Great Places Housing on both new constructions and refurbishments. We take pride in our ethical standards that we've kept throughout the years which has earned us a great reputation. Other certifications: Construction Skills Certification Scheme - Construction Skills Certification Scheme (CSCS).",[16]
50,"Office Image is a UK leading Commercial Interiors design and build specialist headquartered in Cardiff, South Wales. We specialize in refurbishment, complete refits and dilapidation projects for Office, Commercial, Retail, Industrial and laboratory properties. Our full turn key option provides clients with one point of contact on any project we undertake. For two decades now Office Image has been working closely with some of the UK’s most successful companies to Design Develop and Deliver fit-out and refurbishment projects that create spaces which empower its users while helping support their businesses growth. Following an extensive review of historical trading patterns as well as implementing a new business strategy; Office Image will be taking this company into its next chapter to reflect the diverse landscape within which it operates today.","[6, 7, 10, 11, 15, 18]"
51,"Welcome to D Croft & Co Ltd, a construction and refurbishment company with over 35 years of experience. We have established ourselves as providers of building services for public sector clients in the Yorkshire & Humberside region, offering our expertise in various techniques and procedures. Our head office is based in Mirfield where we coordinate up to 30 technicians and subcontractors at multiple sites across the area. Building strong relationships with customers is paramount for us so that their needs can be understood better; senior managerial staff are always available should they require direct access.","[16, 17, 22, 31, 37, 38]"
52,"For over two decades, K H Engineering Services Ltd has been providing Electrical, Mechanical and CCTV Installation & Maintenance Contractor services. On 1st May 2015 we rebranded from K H Electrical Services Ltd to better reflect our offerings. Our client base is diverse with both direct clients as well as those in the UK Rail infrastructure such as Network Rail, Southern Railway and major contractors throughout the country. We are based out of Sidcup, Kent but regularly work on projects across the South East of England and beyond. Additionally, we offer out-of-hours working for reactive contracts or planned works when needed.","[32, 65, 64, 71, 62]"
53,"Established in 1998, EKL Services has since grown into a reputable electrical contracting business. We specialize in providing services to residential, commercial, industrial and healthcare sectors. Our team of experienced professionals is dedicated to delivering quality work from start to finish. As members of the National Inspection Council for Electrical Installation Contracting (Enrolment No 030511), we are committed to upholding industry standards at all times. With our offices located conveniently close by London and other home counties, we are well-positioned for any project that comes our way.",[66]
